FC東京.xlsx,市場価値.xlsx,通算対戦成績.xlsx,,objective variable,,,,,explanatory variable,,,,,,,,,,,,,
Basic information,,,,point result,,score result,,,compatibility,,,others,ME,,,,,opponent,,,,
Year,Section,name of me,name of opponent,gain points,lose points,"score(win=3,draw=1,lose=0)","lose=0, not lose=1","not win=0, win=1",mean score(compatibility),mean gain points(compatibility),mean lose points(compatibility),Home/Away,score of last year(me),mean score points in last five games(me),total market value(me),mean age(me),number of foreign people(me),score of last year(opponent),total market value(opponent),mean age(opponent),number of foreign people(opponent),
2017,15,Ｃ大阪,清水,1,1,1,1,0,1.442307692,1.8,1.6,H,22,2.4,1.172423985,23.2,5,22,0.711567592,24.6,5,
2017,17,Ｃ大阪,FC東京,3,1,3,1,1,1.323529412,1.3,1.5,H,22,2.6,1.172423985,23.2,5,46,1.127202867,24.2,6,
2017,18,Ｃ大阪,柏,2,1,3,1,1,1.292682927,1.6,1.8,H,22,2.6,1.172423985,23.2,5,48,0.911072524,23.2,6,
2017,22,Ｃ大阪,浦和,4,2,3,1,1,1.42,1.6,1.5,H,22,2.6,1.172423985,23.2,5,66,1.322052684,26.5,3,
2017,20,Ｃ大阪,札幌,3,1,3,1,1,1.62962963,1.4,1.1,H,22,2.4,1.172423985,23.2,5,22,0.673661654,26.9,7,
2017,24,Ｃ大阪,鹿島,0,1,0,0,0,1.150943396,1.1,1.5,H,22,1.4,1.172423985,23.2,5,78,1.179074149,24.3,7,
2017,27,Ｃ大阪,仙台,1,4,0,0,0,1.416666667,1.4,1.3,H,22,0.8,1.172423985,23.2,5,46,0.736838216,24.5,5,
2017,30,Ｃ大阪,甲府,2,0,3,1,1,1.434782609,1.3,1.2,H,22,1.2,1.172423985,23.2,5,30,0.577234271,26.7,8,
2017,31,Ｃ大阪,大宮,2,1,3,1,1,1.518518519,1.3,1,H,22,1.2,1.172423985,23.2,5,52,0.859866258,25.8,6,
2017,33,Ｃ大阪,神戸,3,1,3,1,1,1.605263158,1.5,1.2,H,22,2.4,1.172423985,23.2,5,40,1.82547013,25.2,5,
2018,1,Ｃ大阪,横浜FM,1,1,1,1,0,1.395833333,1.5,1.4,H,63,2.4,1.208014143,24.1,7,59,0.820860342,23.8,8,
